industry_code,naics,industry_name
42458000,458,"Clothing, clothing accessories, shoe, and jewelry retailers"
42458100,4581,Clothing and clothing accessories retailers
42458200,4582,Shoe retailers
42458300,4583,"Jewelry, luggage, and leather goods retailers"
42459000,459,"Sporting goods, hobby, musical instrument, book, and miscellaneous retailers"
42459100,4591,"Sporting goods, hobby, and musical instrument retailers"
42459200,4592,Book retailers and news dealers
42459300,4593,Florists
42459400,4594,"Office supplies, stationery, and gift retailers"
42459500,4595,Used merchandise retailers
42459900,4599,Other miscellaneous retailers
43481000,481,Air transportation
43481100,4811,Scheduled air transportation
43481200,4812,Nonscheduled air transportation
43482000,482,Rail transportation
43483000,483,Water transportation
43484000,484,Truck transportation
43484100,4841,General freight trucking
43484200,4842,Specialized freight trucking
43485000,485,Transit and ground passenger transportation
43485300,4853,Taxi and limousine service
43485400,4854,School and employee bus transportation
43485900,4859,Other transit and ground passenger transportation
43486000,486,Pipeline transportation
43487000,487,Scenic and sightseeing transportation
43488000,488,Support activities for transportation
43488100,4881,Support activities for air transportation
43488300,4883,Support activities for water transportation
43488400,4884,Support activities for road transportation
43488500,4885,Freight transportation arrangement
43492000,492,Couriers and messengers
43492100,4921,Couriers and express delivery services
43493000,493,Warehousing and storage
44221100,2211,"Electric power generation, transmission and distribution"
44221200,2212,Natural gas distribution
44221300,2213,"Water, sewage, and other systems"
50512000,512,Motion picture and sound recording industries
50513000,513,Publishing industries
50513100,5131,"Newspaper, periodical, book, and directory publishers"
50513200,5132,Software publishers
50516000,516,Broadcasting and content providers
50516100,5161,Radio and television broadcasting stations
50516200,5162,"Media streaming distribution services, social networks, and other media networks and content providers"
50517000,517,Telecommunications
50517100,5171,Wired and wireless telecommunications (except satellite)
50518000,518,"Computing infrastructure providers, data processing, web hosting, and related services"
50519000,519,"Web search portals, libraries, archives, and other information services"
55521000,521,Monetary authorities-central bank
55522000,522,Credit intermediation and related activities
55522100,5221,Depository credit intermediation
55522200,5222,Nondepository credit intermediation
55522300,5223,Activities related to credit intermediation
55524000,524,Insurance carriers and related activities
55524100,5241,Insurance carriers
55524200,5242,"Agencies, brokerages, and other insurance related activities"
55531000,531,Real estate
55531100,5311,Lessors of real estate
55531200,5312,Offices of real estate agents and brokers
55531300,5313,Activities related to real estate
55532000,532,Rental and leasing services
55532100,5321,Automotive equipment rental and leasing
55532200,5322,Consumer goods rental
55532300,5323,General rental centers
55532400,5324,Commercial and industrial machinery and equipment rental and leasing
55533000,533,Lessors of nonfinancial intangible assets (except copyrighted works)
60541100,5411,Legal services
60541200,5412,"Accounting, tax preparation, bookkeeping, and payroll services"
60541300,5413,"Architectural, engineering, and related services"
60541400,5414,Specialized design services
60541500,5415,Computer systems design and related services
60541600,5416,"Management, scientific, and technical consulting services"
60541700,5417,Scientific research and development services
60541800,5418,"Advertising, public relations, and related services"
60541900,5419,"Other professional, scientific, and technical services"
60561000,561,Administrative and support services
60561100,5611,Office administrative services
60561200,5612,Facilities support services
60561300,5613,Employment services
60561400,5614,Business support services
60561500,5615,Travel arrangement and reservation services
60561600,5616,Investigation and security services
60561700,5617,Services to buildings and dwellings
60561900,5619,Other support services
60562000,562,Waste management and remediation services
60562100,5621,Waste collection
