naics,aiie,industry_code,industry_name,series_id_emp
4241,0.6838242,41424100,Paper and paper product merchant wholesalers,CES4142410001
4242,-0.0027297,41424200,Drugs and druggists' sundries merchant wholesalers,CES4142420001
4243,0.6573116,41424300,"Apparel, piece goods, and notions merchant wholesalers",CES4142430001
4244,-0.358483,41424400,Grocery and related product merchant wholesalers,CES4142440001
4245,-0.7109669,41424500,Farm product raw material merchant wholesalers,CES4142450001
4246,-0.0027297,41424600,Chemical and allied products merchant wholesalers,CES4142460001
4247,0.6838242,41424700,Petroleum and petroleum products merchant wholesalers,CES4142470001
4248,-0.358483,41424800,"Beer, wine, and distilled alcoholic beverage merchant wholesalers",CES4142480001
4249,0.6838242,41424900,Miscellaneous nondurable goods merchant wholesalers,CES4142490001
4411,-0.1668894,42441100,Automobile dealers,CES4244110001
4412,-0.1300993,42441200,Other motor vehicle dealers,CES4244120001
4413,-0.6871853,42441300,"Automotive parts, accessories, and tire retailers",CES4244130001
4441,0.1045359,42444100,Building material and supplies dealers,CES4244410001
4442,-0.4641636,42444200,Lawn and garden equipment and supplies retailers,CES4244420001
4451,-0.4066956,42445100,Grocery and convenience retailers,CES4244510001
4452,-0.4066956,42445200,Specialty food retailers,CES4244520001
4453,-0.0185797,42445300,"Beer, wine, and liquor retailers",CES4244530001
4811,-0.4555449,43481100,Scheduled air transportation,CES4348110001
4812,0.1134526,43481200,Nonscheduled air transportation,CES4348120001
484,-1.282191,43484000,Truck transportation,CES4348400001
4853,1.369857,43485300,Taxi and limousine service,CES4348530001
4854,0.076602,43485400,School and employee bus transportation,CES4348540001
4859,0.9623069,43485900,Other transit and ground passenger transportation,CES4348590001
4881,-0.3353398,43488100,Support activities for air transportation,CES4348810001
4883,-1.411064,43488300,Support activities for water transportation,CES4348830001
4884,-0.9504591,43488400,Support activities for road transportation,CES4348840001
4885,1.024609,43488500,Freight transportation arrangement,CES4348850001
4921,-1.150431,43492100,Couriers and express delivery services,CES4349210001
517,0.2466103,50517000,Telecommunications,CES5051700001
5221,1.888684,55522100,Depository credit intermediation,CES5552210001
5222,2.113345,55522200,Nondepository credit intermediation,CES5552220001
5223,1.888684,55522300,Activities related to credit intermediation,CES5552230001
