naics,industry_title,aiie,industry_code,naics_code,industry_name
3327.0,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",-0.6099281,31332700.0,3327.0,"Machine shops; turned product; and screw, nut, and bolt manufacturing"
3328.0,"Coating, Engraving, Heat Treating, and Allied Activities",-0.7753809,31332800.0,3328.0,"Coating, engraving, heat treating, and allied activities"
,,,31332900.0,3329.0,"Cutlery, handtool, and other fabricated metal product manufacturing"
3330.0,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",-0.0746392,,,
,,,31333100.0,3331.0,"Agriculture, construction, and mining machinery manufacturing"
,,,31333200.0,3332.0,Industrial machinery manufacturing
3333.0,Commercial and Service Industry Machinery Manufacturing,0.3308995,31333300.0,3333.0,Commercial and service industry machinery manufacturing
,,,31333400.0,3334.0,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing"
3335.0,Metalworking Machinery Manufacturing,-0.346932,31333500.0,3335.0,Metalworking machinery manufacturing
3336.0,"Engine, Turbine, and Power Transmission Equipment Manufacturing",0.1307197,31333600.0,3336.0,"Engine, turbine, and power transmission equipment manufacturing"
,,,31333900.0,3339.0,Other general purpose machinery manufacturing
3341.0,Computer and Peripheral Equipment Manufacturing,1.596084,31334100.0,3341.0,Computer and peripheral equipment manufacturing
3342.0,Communications Equipment Manufacturing,1.181725,31334200.0,3342.0,Communications equipment manufacturing
3343.0,Audio and Video Equipment Manufacturing,1.161132,,,
3344.0,Semiconductor and Other Electronic Component Manufacturing,0.6828295,31334400.0,3344.0,Semiconductor and other electronic component manufacturing
3345.0,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1.113945,31334500.0,3345.0,"Navigational, measuring, electromedical, and control instruments manufacturing"
3346.0,Manufacturing and Reproducing Magnetic and Optical Media,0.1490236,,,
3351.0,Electric Lighting Equipment Manufacturing,0.5806971,31335100.0,3351.0,Electric lighting equipment manufacturing
3352.0,Household Appliance Manufacturing,0.0281708,31335200.0,3352.0,Household appliance manufacturing
3353.0,Electrical Equipment Manufacturing,0.332973,31335300.0,3353.0,Electrical equipment manufacturing
3359.0,Other Electrical Equipment and Component Manufacturing,-0.0384073,31335900.0,3359.0,Other electrical equipment and component manufacturing
3361.0,Motor Vehicle Manufacturing,-0.3023474,31336100.0,3361.0,Motor vehicle manufacturing
3362.0,Motor Vehicle Body and Trailer Manufacturing,-0.8058288,31336200.0,3362.0,Motor vehicle body and trailer manufacturing
3363.0,Motor Vehicle Parts Manufacturing,-0.5860924,31336300.0,3363.0,Motor vehicle parts manufacturing
3364.0,Aerospace Product and Parts Manufacturing,0.5189539,31336400.0,3364.0,Aerospace product and parts manufacturing
3365.0,Railroad Rolling Stock Manufacturing,-0.6623871,,,
